date,temperature_avg,temperature_max,temperature_min,rainfall,humidity,wind_speed
2019-01-01,19.39,30.31,10.27,0.0,47.59,2.5
2019-01-02,19.22,30.3,9.86,0.0,49.99,2.89
2019-01-03,19.63,30.61,11.18,0.0,49.04,2.76
2019-01-04,19.57,29.92,10.35,0.0,51.83,3.11
2019-01-05,19.89,31.27,10.88,0.0,52.66,2.38
2019-01-06,20.9,32.42,12.72,0.0,52.72,2.15
2019-01-07,21.08,32.0,13.21,0.0,51.33,2.47
2019-01-08,21.1,31.52,13.02,0.0,45.71,2.25
2019-01-09,21.1,32.38,12.33,0.0,45.27,2.31
2019-01-10,21.26,32.62,12.85,0.0,49.96,2.35
2019-01-11,21.44,32.37,13.49,0.0,51.42,1.87
2019-01-12,21.56,31.88,14.03,0.0,53.2,2.39
2019-01-13,21.27,32.15,12.56,0.0,46.41,2.03
2019-01-14,20.96,31.56,11.85,0.0,46.86,2.26
2019-01-15,20.81,31.53,11.4,0.0,40.55,2.76
2019-01-16,21.07,31.58,11.99,0.0,49.88,2.61
2019-01-17,21.62,31.51,14.25,0.0,54.83,2.73
2019-01-18,21.4,31.34,13.67,0.0,54.26,2.86
2019-01-19,21.18,31.68,13.33,0.0,48.29,2.8
2019-01-20,20.87,32.0,12.18,0.0,46.93,2.67
2019-01-21,21.09,32.45,11.1,0.0,46.58,2.5
2019-01-22,21.51,32.08,13.57,0.0,49.54,1.38
2019-01-23,22.62,31.98,15.47,0.0,54.38,1.6
2019-01-24,23.27,31.95,16.5,0.0,54.09,2.15
2019-01-25,24.02,31.85,17.33,0.0,57.45,2.91
2019-01-26,24.74,31.51,18.9,0.0,59.07,2.52
2019-01-27,23.85,30.46,19.2,0.67,64.32,2.56
2019-01-28,23.08,30.53,18.85,8.05,66.06,2.34
2019-01-29,21.44,27.89,17.12,1.81,67.19,2.75
2019-01-30,21.44,29.68,15.8,0.0,59.51,2.61
2019-01-31,20.89,30.28,13.11,0.0,55.22,2.73
2019-02-01,21.46,30.05,15.03,0.0,58.57,2.29
2019-02-02,22.51,30.98,15.71,0.0,55.15,2.35
2019-02-03,23.25,31.79,15.99,0.0,55.21,2.34
2019-02-04,24.19,32.95,16.98,0.0,54.52,3.08
2019-02-05,23.45,31.49,16.44,0.0,54.81,2.78
2019-02-06,24.28,33.26,15.51,0.0,48.04,2.35
2019-02-07,25.01,33.67,16.6,0.0,51.73,2.66
2019-02-08,25.99,34.06,17.8,0.0,51.21,1.82
2019-02-09,25.92,32.92,19.99,5.85,55.73,1.84
2019-02-10,22.89,26.94,20.59,11.56,77.58,2.27
2019-02-11,23.8,30.34,18.82,0.02,66.81,3.7
2019-02-12,23.04,31.55,16.36,0.0,60.17,3.95
2019-02-13,22.92,32.0,15.59,0.0,58.2,3.38
2019-02-14,23.71,32.55,14.37,0.0,57.93,3.08
2019-02-15,24.88,32.77,17.09,0.0,58.93,1.58
2019-02-16,25.62,32.95,18.91,0.0,55.77,1.88
2019-02-17,25.73,33.75,19.12,0.0,49.13,2.02
2019-02-18,25.46,34.78,17.63,0.0,35.37,1.19
2019-02-19,27.0,34.82,20.03,0.01,55.5,3.14
2019-02-20,26.0,34.81,19.42,0.0,52.57,3.74
2019-02-21,24.59,33.48,17.12,0.0,50.06,3.57
2019-02-22,24.11,34.57,14.7,0.0,38.78,3.44
2019-02-23,24.77,35.53,15.43,0.0,29.76,3.35
2019-02-24,25.2,35.67,15.47,0.0,32.28,3.27
2019-02-25,25.26,36.24,14.85,0.0,32.77,2.09
2019-02-26,25.89,35.48,15.75,0.0,37.6,1.67
2019-02-27,27.58,35.77,18.98,0.0,44.95,1.95
2019-02-28,27.18,34.86,21.42,0.0,37.1,1.9
2019-03-01,28.17,36.12,20.07,0.01,49.33,2.1
2019-03-02,27.78,35.28,21.68,0.08,51.76,3.4
2019-03-03,27.36,34.43,20.14,0.0,50.39,2.06
2019-03-04,28.5,36.16,19.82,0.0,45.33,1.94
2019-03-05,30.15,37.03,22.14,0.0,34.61,1.47
2019-03-06,29.71,37.19,22.12,0.0,29.14,1.62
2019-03-07,29.69,38.97,21.89,0.0,23.99,1.43
2019-03-08,29.33,37.49,21.65,0.0,34.2,1.71
2019-03-09,29.17,35.57,22.17,0.01,44.65,2.73
2019-03-10,29.63,36.49,22.51,0.0,42.87,2.68
2019-03-11,28.86,36.35,22.83,0.0,38.47,3.5
2019-03-12,27.44,35.99,19.35,0.0,36.17,3.08
2019-03-13,26.95,35.76,18.5,0.0,30.31,3.59
2019-03-14,27.01,36.21,18.06,0.0,29.49,3.66
2019-03-15,27.0,36.04,18.52,0.0,30.3,3.37
2019-03-16,26.5,36.07,16.89,0.0,34.67,3.34
2019-03-17,26.16,36.06,15.99,0.0,36.41,2.61
2019-03-18,27.1,36.19,18.13,0.0,46.42,2.5
2019-03-19,28.42,36.57,19.17,0.0,45.32,2.53
2019-03-20,28.45,36.08,21.17,0.0,42.4,3.42
